date,open,high,low,close,volume
2024-10-23 01:00:00,157.81,157.92,158.72,157.44,81696.261839
2024-10-23 00:00:00,156.55,158,158.49,156.3,271376.909425
2024-10-22 23:00:00,156.53,156.57,157.36,156.04,189601.966342
2024-10-22 22:00:00,156.45,156.52,157.25,156.18,168339.564867
2024-10-22 21:00:00,156.76,156.44,157.07,155.93,247778.94084
2024-10-22 20:00:00,156.75,156.74,157.62,156.48,207610.656511
2024-10-22 19:00:00,158.54,156.74,158.54,156.55,214590.709174
2024-10-22 18:00:00,157.84,158.54,158.97,157.55,177072.044396
2024-10-22 17:00:00,156.89,157.87,158.1,155.19,354244.823086
2024-10-22 16:00:00,154.87,156.85,157.2,154.83,393524.530943
2024-10-22 15:00:00,156.91,154.69,156.91,154.62,120541.084024
2024-10-22 14:00:00,157.06,157.01,157.83,156.3,151202.039205
2024-10-22 13:00:00,157.96,157.07,157.96,156.2,223378.943104
2024-10-22 12:00:00,156.37,158.04,158.29,155.94,270163.222311
2024-10-22 11:00:00,156.93,156.22,157.66,156.09,221549.571474
2024-10-22 10:00:00,157.29,156.96,157.5,156.89,89402.192795
2024-10-22 09:00:00,157.45,157.41,157.68,157.33,82250.780806
2024-10-22 08:00:00,157.14,157.42,157.51,156.85,97572.50853
2024-10-22 07:00:00,156.82,157.21,157.65,156.75,125060.648499
2024-10-22 06:00:00,157.25,156.82,157.81,156.66,180827.549951
2024-10-22 05:00:00,156.45,157.26,158.8,155.86,440655.638525
2024-10-22 04:00:00,156.44,156.49,156.72,155.42,222492.975629
2024-10-22 03:00:00,155.1,156.53,157.2,155.1,280974.811772
2024-10-22 02:00:00,154.33,155.04,155.23,153.86,102172.742935
2024-10-22 01:00:00,154.87,154.51,155.26,154.26,228266.886275
2024-10-22 00:00:00,154.52,154.8,155.78,153.91,482666.609678
2024-10-21 23:00:00,155.18,154.48,155.37,154.31,384389.267639
2024-10-21 22:00:00,155.25,155.14,155.49,154.95,178207.458582
2024-10-21 21:00:00,155.01,155.25,155.43,154.56,296560.531536
2024-10-21 20:00:00,154.93,155.08,155.35,154.43,217940.465736
2024-10-21 19:00:00,154.04,154.94,155.18,153.87,347939.5489078344
2024-10-21 18:00:00,155.23,153.78,155.26,153.26,374798.058673
2024-10-21 17:00:00,156.07,155.37,156.41,154.77,474784.334315
2024-10-21 16:00:00,156.43,156.07,156.53,154.8,645801.1098
2024-10-21 15:00:00,158.33,156.39,158.88,155.74,709823.909621
2024-10-21 14:00:00,161.02,158.23,161.55,157.36,625478.060684
2024-10-21 13:00:00,161.97,160.97,162.37,160.62,209492.470181
2024-10-21 12:00:00,162.04,161.95,163.14,161.46,226416.696662
2024-10-21 11:00:00,162.7,162,162.74,161.39,230709.860574
2024-10-21 10:00:00,162.12,162.7,163.5,161.85,362958.736973
2024-10-21 09:00:00,161.75,161.94,162.56,161.43,130196.379896
2024-10-21 08:00:00,162.05,161.81,162.29,161.79,87646.047551
2024-10-21 07:00:00,161.91,162.05,162.13,161.5,51758.40281
2024-10-21 06:00:00,161.95,161.92,162.12,161.3,114310.888693
2024-10-21 05:00:00,162.37,161.97,163.41,161.81,133090.983646
2024-10-21 04:00:00,163.15,162.24,163.83,161.97,402177.488962
2024-10-21 03:00:00,163.29,163.16,163.52,162.03,272599.063393
